year,STABBR,average_admission_rates
2004-2005,Alaska,0.82725
2004-2005,Alabama,0.7225558823529412
2004-2005,Arkansas,0.7086695652173913
2004-2005,Arizona,0.7582032258064516
2004-2005,California,0.7127617777777778
2004-2005,Colorado,0.7717846153846154
2004-2005,Connecticut,0.577385
2004-2005,Delaware,0.6337375
2004-2005,Florida,0.7267421052631579
2004-2005,Georgia,0.6561530120481928
2004-2005,Hawaii,0.6634166666666667
2004-2005,Iowa,0.7438152173913043
2004-2005,Idaho,0.86257
2004-2005,Illinois,0.7067490909090909
2004-2005,Indiana,0.7353671428571429
2004-2005,Kansas,0.7461333333333333
2004-2005,Kentucky,0.687875
2004-2005,Louisiana,0.7936911764705883
2004-2005,Massachusetts,0.6191648936170213
2004-2005,Maryland,0.6440757575757575
2004-2005,Maine,0.6665304347826086
2004-2005,Michigan,0.6557506493506493
2004-2005,Minnesota,0.782575
2004-2005,Missouri,0.6735666666666666
2004-2005,Mississippi,0.6562631578947369
2004-2005,Montana,0.7801400000000001
2004-2005,North Carolina,0.7026385714285714
2004-2005,North Dakota,0.8593555555555555
2004-2005,Nebraska,0.740816
2004-2005,New Hampshire,0.7023652173913043
2004-2005,New Jersey,0.7019728813559322
2004-2005,New Mexico,0.6861333333333333
2004-2005,Nevada,0.8400428571428571
2004-2005,New York,0.6855393939393939
2004-2005,Ohio,0.6970486725663717
2004-2005,Oklahoma,0.764190625
2004-2005,Oregon,0.7925166666666666
2004-2005,Pennsylvania,0.6740297777777777
2004-2005,Rhode Island,0.7097692307692308
2004-2005,South Carolina,0.7348863636363636
2004-2005,South Dakota,0.690464705882353
2004-2005,Tennessee,0.7318779411764705
2004-2005,Texas,0.7321310606060606
2004-2005,Utah,0.81672
2004-2005,Virginia,0.6569132352941176
2004-2005,Vermont,0.6741142857142858
2004-2005,Washington,0.7554708333333333
2004-2005,Wisconsin,0.7514235294117647
2004-2005,West Virginia,0.7676645161290323
2004-2005,Wyoming,0.9742
2005-2006,Alaska,0.812775
2005-2006,Alabama,0.7105272727272728
2005-2006,Arkansas,0.7504038461538461
2005-2006,Arizona,0.78312
2005-2006,California,0.69204243697479
2005-2006,Colorado,0.77622
2005-2006,Connecticut,0.6478682926829268
2005-2006,Delaware,0.6557285714285714
2005-2006,Florida,0.6968319327731093
2005-2006,Georgia,0.6360626506024096
2005-2006,Hawaii,0.6815857142857142
2005-2006,Iowa,0.7616911111111111
2005-2006,Idaho,0.8198333333333333
2005-2006,Illinois,0.7259419642857143
2005-2006,Indiana,0.7688930555555555
2005-2006,Kansas,0.713148275862069
2005-2006,Kentucky,0.7323205882352941
2005-2006,Louisiana,0.711948275862069
2005-2006,Massachusetts,0.6308397959183674
2005-2006,Maryland,0.6055571428571429
2005-2006,Maine,0.6147608695652174
2005-2006,Michigan,0.6774576923076923
2005-2006,Minnesota,0.7809561403508772
2005-2006,Missouri,0.7107903614457831
2005-2006,Mississippi,0.6843333333333333
2005-2006,Montana,0.738688888888889
2005-2006,North Carolina,0.7009420289855073
2005-2006,North Dakota,0.8201375
2005-2006,Nebraska,0.772284
2005-2006,New Hampshire,0.7079708333333333
2005-2006,New Jersey,0.7047363636363636
2005-2006,New Mexico,0.7150727272727273
2005-2006,Nevada,0.7959222222222222
2005-2006,New York,0.666349063670412
2005-2006,Ohio,0.6968657657657658
2005-2006,Oklahoma,0.7822444444444444
2005-2006,Oregon,0.7645526315789474
2005-2006,Pennsylvania,0.6889121212121212
2005-2006,Rhode Island,0.6621769230769231
2005-2006,South Carolina,0.7542933333333334
2005-2006,South Dakota,0.7175529411764706
2005-2006,Tennessee,0.7224579710144927
2005-2006,Texas,0.7165064516129033
2005-2006,Utah,0.88218
2005-2006,Virginia,0.6641984375
2005-2006,Vermont,0.6675736842105263
2005-2006,Washington,0.757925
2005-2006,Wisconsin,0.7701448979591837
2005-2006,West Virginia,0.7307142857142858
2005-2006,Wyoming,0.97725
2006-2007,Alaska,0.804
2006-2007,Alabama,0.7497911764705882
2006-2007,Arkansas,0.7409555555555556
2006-2007,Arizona,0.7526166666666667
2006-2007,California,0.7028361788617886
2006-2007,Colorado,0.7370146341463415
2006-2007,Connecticut,0.6321684210526316
2006-2007,Delaware,0.6836375
2006-2007,Florida,0.7072353448275862
2006-2007,Georgia,0.63712125
2006-2007,Hawaii,0.7611111111111111
2006-2007,Iowa,0.7338422222222222
2006-2007,Idaho,0.81564
2006-2007,Illinois,0.7198849557522123
2006-2007,Indiana,0.7487986301369863
2006-2007,Kansas,0.7357366666666667
2006-2007,Kentucky,0.6657727272727273
2006-2007,Louisiana,0.7035322580645161
2006-2007,Massachusetts,0.6128081632653061
2006-2007,Maryland,0.6486305555555556
2006-2007,Maine,0.6728217391304347
2006-2007,Michigan,0.6488064935064936
2006-2007,Minnesota,0.7806224137931035
2006-2007,Missouri,0.6736377777777778
2006-2007,Mississippi,0.6705631578947369
2006-2007,Montana,0.7435
2006-2007,North Carolina,0.6767042253521127
2006-2007,North Dakota,0.8665666666666667
2006-2007,Nebraska,0.7540125
2006-2007,New Hampshire,0.7743458333333333
2006-2007,New Jersey,0.7293971830985916
2006-2007,New Mexico,0.6937545454545455
2006-2007,Nevada,0.6886
2006-2007,New York,0.6577520146520146
2006-2007,Ohio,0.7031336206896551
2006-2007,Oklahoma,0.7617380952380952
2006-2007,Oregon,0.7497888888888888
2006-2007,Pennsylvania,0.6895426724137931
2006-2007,Rhode Island,0.6163363636363637
2006-2007,South Carolina,0.7204622222222222
2006-2007,South Dakota,0.7712625
2006-2007,Tennessee,0.7157821917808219
2006-2007,Texas,0.7270753846153846
2006-2007,Utah,0.8362588235294117
2006-2007,Virginia,0.6423462686567164
2006-2007,Vermont,0.7056789473684211
2006-2007,Washington,0.760274
2006-2007,Wisconsin,0.7748857142857143
2006-2007,West Virginia,0.7735096774193548
2006-2007,Wyoming,0.9767
2007-2008,Alaska,0.81436
2007-2008,Alabama,0.694485294117647
2007-2008,Arkansas,0.6925846153846154
2007-2008,Arizona,0.778190625
2007-2008,California,0.6820177777777777
2007-2008,Colorado,0.7389355555555556
2007-2008,Connecticut,0.58932
2007-2008,Delaware,0.6341428571428571
2007-2008,Florida,0.6765553719008265
2007-2008,Georgia,0.6052375
2007-2008,Hawaii,0.7315625
2007-2008,Iowa,0.7039511111111111
2007-2008,Idaho,0.7648
2007-2008,Illinois,0.725888695652174
2007-2008,Indiana,0.7470157894736842
2007-2008,Kansas,0.7491151515151515
2007-2008,Kentucky,0.6831861111111112
2007-2008,Louisiana,0.6530818181818182
2007-2008,Massachusetts,0.5633755555555555
2007-2008,Maryland,0.635205
2007-2008,Maine,0.6472380952380953
2007-2008,Michigan,0.6605602739726028
2007-2008,Minnesota,0.7501440677966101
2007-2008,Missouri,0.6982829545454545
2007-2008,Mississippi,0.61328
2007-2008,Montana,0.8608222222222223
2007-2008,North Carolina,0.6681072463768116
2007-2008,North Dakota,0.8225
2007-2008,Nebraska,0.7161916666666667
2007-2008,New Hampshire,0.7255473684210526
2007-2008,New Jersey,0.691255223880597
2007-2008,New Mexico,0.6769000000000001
2007-2008,Nevada,0.7126727272727272
2007-2008,New York,0.6507882129277567
2007-2008,Ohio,0.7127272727272728
2007-2008,Oklahoma,0.7083837209302326
2007-2008,Oregon,0.7549705882352942
2007-2008,Pennsylvania,0.690652466367713
2007-2008,Rhode Island,0.55816
2007-2008,South Carolina,0.7283255319148936
2007-2008,South Dakota,0.7403764705882353
2007-2008,Tennessee,0.7110777777777778
2007-2008,Texas,0.700264393939394
2007-2008,Utah,0.7912434782608696
2007-2008,Virginia,0.6768101449275362
2007-2008,Vermont,0.7160157894736842
2007-2008,Washington,0.71063125
2007-2008,Wisconsin,0.7663725490196078
2007-2008,West Virginia,0.6726
2007-2008,Wyoming,0.98125
2008-2009,Alaska,0.755225
2008-2009,Alabama,0.6676742857142857
2008-2009,Arkansas,0.7396346153846154
2008-2009,Arizona,0.7459133333333333
2008-2009,California,0.6990721739130434
2008-2009,Colorado,0.6972782608695652
2008-2009,Connecticut,0.6135151515151516
2008-2009,Delaware,0.6846833333333333
2008-2009,Florida,0.6570647540983606
2008-2009,Georgia,0.6161181818181818
2008-2009,Hawaii,0.6712666666666667
2008-2009,Iowa,0.7229681818181818
2008-2009,Idaho,0.7633624999999999
2008-2009,Illinois,0.6828018018018018
2008-2009,Indiana,0.7594581081081081
2008-2009,Kansas,0.7033818181818182
2008-2009,Kentucky,0.6269677419354839
2008-2009,Louisiana,0.6307028571428571
2008-2009,Massachusetts,0.5702945054945054
2008-2009,Maryland,0.62895
2008-2009,Maine,0.6003590909090909
2008-2009,Michigan,0.6548886075949367
2008-2009,Minnesota,0.7398932203389831
2008-2009,Missouri,0.6825733333333334
2008-2009,Mississippi,0.6407944444444444
2008-2009,Montana,0.810425
2008-2009,North Carolina,0.618724
2008-2009,North Dakota,0.7657166666666667
2008-2009,Nebraska,0.7255782608695652
2008-2009,New Hampshire,0.7008235294117647
2008-2009,New Jersey,0.70352
2008-2009,New Mexico,0.6638416666666667
2008-2009,Nevada,0.78249
2008-2009,New York,0.644256640625
2008-2009,Ohio,0.6973111940298508
2008-2009,Oklahoma,0.7803081081081081
2008-2009,Oregon,0.7725676470588235
2008-2009,Pennsylvania,0.6585028169014084
2008-2009,Rhode Island,0.57059
2008-2009,South Carolina,0.6499978260869566
2008-2009,South Dakota,0.7677470588235294
2008-2009,Tennessee,0.7001050632911392
2008-2009,Texas,0.6706182539682539
2008-2009,Utah,0.8012
2008-2009,Virginia,0.63774
2008-2009,Vermont,0.7130333333333333
2008-2009,Washington,0.745784
2008-2009,Wisconsin,0.762698
2008-2009,West Virginia,0.6704071428571429
2008-2009,Wyoming,0.9566
2009-2010,Alaska,0.610625
2009-2010,Alabama,0.6919162162162162
2009-2010,Arkansas,0.70244
2009-2010,Arizona,0.7335516129032258
2009-2010,California,0.6989720524017468
2009-2010,Colorado,0.6948119047619048
2009-2010,Connecticut,0.6371393939393939
2009-2010,Delaware,0.6521
2009-2010,Florida,0.6923470085470086
2009-2010,Georgia,0.5977058823529412
2009-2010,Hawaii,0.7022875
2009-2010,Iowa,0.7327414634146341
2009-2010,Idaho,0.86721
2009-2010,Illinois,0.713309900990099
2009-2010,Indiana,0.73725
2009-2010,Kansas,0.7229193548387097
2009-2010,Kentucky,0.6379970588235294
2009-2010,Louisiana,0.6566305555555556
2009-2010,Massachusetts,0.5729204301075269
2009-2010,Maryland,0.664074358974359
2009-2010,Maine,0.6366045454545455
2009-2010,Michigan,0.6612853658536585
2009-2010,Minnesota,0.748471875
2009-2010,Missouri,0.7106925
2009-2010,Mississippi,0.59336
2009-2010,Montana,0.8050333333333334
2009-2010,North Carolina,0.6338098765432099
2009-2010,North Dakota,0.7839833333333334
2009-2010,Nebraska,0.6719909090909091
2009-2010,New Hampshire,0.7221235294117647
2009-2010,New Jersey,0.6948274193548387
2009-2010,New Mexico,0.73424
2009-2010,Nevada,0.7340714285714286
2009-2010,New York,0.6447204819277108
2009-2010,Ohio,0.7061992647058823
2009-2010,Oklahoma,0.7793605263157894
2009-2010,Oregon,0.7738147058823529
2009-2010,Pennsylvania,0.6671710784313726
2009-2010,Rhode Island,0.6095636363636363
2009-2010,South Carolina,0.6851166666666667
2009-2010,South Dakota,0.7755647058823529
2009-2010,Tennessee,0.6865506666666666
2009-2010,Texas,0.7058492424242424
2009-2010,Utah,0.7627869565217391
2009-2010,Virginia,0.628734375
2009-2010,Vermont,0.7313611111111111
2009-2010,Washington,0.7409111111111111
2009-2010,Wisconsin,0.746878
2009-2010,West Virginia,0.7224034482758621
2009-2010,Wyoming,0.9596
2010-2011,Alaska,0.33285
2010-2011,Alabama,0.65903125
2010-2011,Arkansas,0.6840772727272727
2010-2011,Arizona,0.7262782608695653
2010-2011,California,0.6335508196721311
2010-2011,Colorado,0.6875617647058824
2010-2011,Connecticut,0.5858228571428571
2010-2011,Delaware,0.58952
2010-2011,Florida,0.6185
2010-2011,Georgia,0.6021290322580645
2010-2011,Hawaii,0.6980125
2010-2011,Iowa,0.662355
2010-2011,Idaho,0.7910625
2010-2011,Illinois,0.680884705882353
2010-2011,Indiana,0.6651134328358209
2010-2011,Kansas,0.7622821428571429
2010-2011,Kentucky,0.6024375
2010-2011,Louisiana,0.5825666666666667
2010-2011,Massachusetts,0.5678188235294117
2010-2011,Maryland,0.59085
2010-2011,Maine,0.6672380952380952
2010-2011,Michigan,0.6344843137254902
2010-2011,Minnesota,0.7264808510638298
2010-2011,Missouri,0.6781553846153846
2010-2011,Mississippi,0.5541722222222222
2010-2011,Montana,0.8060555555555555
2010-2011,North Carolina,0.5993708333333333
2010-2011,North Dakota,0.823975
2010-2011,Nebraska,0.6795526315789474
2010-2011,New Hampshire,0.6973666666666667
2010-2011,New Jersey,0.6628565217391305
2010-2011,New Mexico,0.6591333333333333
2010-2011,Nevada,0.7342454545454545
2010-2011,New York,0.632904
2010-2011,Ohio,0.6844990099009901
2010-2011,Oklahoma,0.6877529411764706
2010-2011,Oregon,0.7414485714285715
2010-2011,Pennsylvania,0.643394578313253
2010-2011,Rhode Island,0.6157888888888889
2010-2011,South Carolina,0.6556022727272727
2010-2011,South Dakota,0.8183692307692307
2010-2011,Tennessee,0.6664522388059702
2010-2011,Texas,0.6309622448979592
2010-2011,Utah,0.7616866666666666
2010-2011,Virginia,0.620968253968254
2010-2011,Vermont,0.7502777777777778
2010-2011,Washington,0.6740870967741935
2010-2011,Wisconsin,0.7637
2010-2011,West Virginia,0.647132
2010-2011,Wyoming,0.959
2011-2012,Alaska,0.34575
2011-2012,Alabama,0.694635294117647
2011-2012,Arkansas,0.6810541666666666
2011-2012,Arizona,0.7724272727272727
2011-2012,California,0.6593984293193718
2011-2012,Colorado,0.71775
2011-2012,Connecticut,0.63761
2011-2012,Delaware,0.52222
2011-2012,Florida,0.658767415730337
2011-2012,Georgia,0.6442323076923077
2011-2012,Hawaii,0.69908
2011-2012,Iowa,0.6582486486486486
2011-2012,Idaho,0.8225333333333333
2011-2012,Illinois,0.6606576470588236
2011-2012,Indiana,0.7149969696969697
2011-2012,Kansas,0.7538321428571428
2011-2012,Kentucky,0.6637545454545455
2011-2012,Louisiana,0.6375645161290323
2011-2012,Massachusetts,0.5816011904761905
2011-2012,Maryland,0.636915625
2011-2012,Maine,0.6805238095238095
2011-2012,Michigan,0.6872107142857142
2011-2012,Minnesota,0.7073377777777777
2011-2012,Missouri,0.698865625
2011-2012,Mississippi,0.5564388888888889
2011-2012,Montana,0.7871666666666667
2011-2012,North Carolina,0.6036970588235294
2011-2012,North Dakota,0.732625
2011-2012,Nebraska,0.65071
2011-2012,New Hampshire,0.6956384615384615
2011-2012,New Jersey,0.7022134615384615
2011-2012,New Mexico,0.7444777777777778
2011-2012,Nevada,0.8052545454545454
2011-2012,New York,0.6315635071090048
2011-2012,Ohio,0.7231852941176471
2011-2012,Oklahoma,0.7066133333333333
2011-2012,Oregon,0.7111470588235295
2011-2012,Pennsylvania,0.6773859550561798
2011-2012,Rhode Island,0.65192
2011-2012,South Carolina,0.6650744186046512
2011-2012,South Dakota,0.8177666666666666
2011-2012,Tennessee,0.6851306451612903
2011-2012,Texas,0.6568028037383178
2011-2012,Utah,0.7630272727272728
2011-2012,Virginia,0.6564075757575758
2011-2012,Vermont,0.7732
2011-2012,Washington,0.7253277777777778
2011-2012,Wisconsin,0.7661291666666666
2011-2012,West Virginia,0.641725
2011-2012,Wyoming,0.9539
2012-2013,Alaska,0.6033999999999999
2012-2013,Alabama,0.7034617647058824
2012-2013,Arkansas,0.6910318181818181
2012-2013,Arizona,0.8192954545454545
2012-2013,California,0.6926079365079365
2012-2013,Colorado,0.74926
2012-2013,Connecticut,0.5749571428571428
2012-2013,Delaware,0.55918
2012-2013,Florida,0.6485404761904762
2012-2013,Georgia,0.6260149253731343
2012-2013,Hawaii,0.68961
2012-2013,Iowa,0.66475
2012-2013,Idaho,0.82546
2012-2013,Illinois,0.6622
2012-2013,Indiana,0.7057701754385965
2012-2013,Kansas,0.7454821428571429
2012-2013,Kentucky,0.6685125
2012-2013,Louisiana,0.6388032258064517
2012-2013,Massachusetts,0.5803494117647059
2012-2013,Maryland,0.62479375
2012-2013,Maine,0.6415047619047619
2012-2013,Michigan,0.7162137931034482
2012-2013,Minnesota,0.7072372093023256
2012-2013,Missouri,0.6798112903225807
2012-2013,Mississippi,0.521325
2012-2013,Montana,0.8014444444444444
2012-2013,North Carolina,0.6030955882352941
2012-2013,North Dakota,0.7164625
2012-2013,Nebraska,0.707345
2012-2013,New Hampshire,0.6909307692307692
2012-2013,New Jersey,0.6542730769230769
2012-2013,New Mexico,0.7570666666666667
2012-2013,Nevada,0.82727
2012-2013,New York,0.6357099526066351
2012-2013,Ohio,0.7049505154639175
2012-2013,Oklahoma,0.6999793103448276
2012-2013,Oregon,0.7264969696969696
2012-2013,Pennsylvania,0.6583885057471265
2012-2013,Rhode Island,0.64002
2012-2013,South Carolina,0.6911697674418604
2012-2013,South Dakota,0.7900666666666667
2012-2013,Tennessee,0.6565016949152542
2012-2013,Texas,0.6992833333333334
2012-2013,Utah,0.7122777777777778
2012-2013,Virginia,0.6587378787878788
2012-2013,Vermont,0.7777611111111111
2012-2013,Washington,0.7109967741935483
2012-2013,Wisconsin,0.76202
2012-2013,West Virginia,0.6097333333333333
2012-2013,Wyoming,0.9601
2013-2014,Alaska,0.43165
2013-2014,Alabama,0.7190516129032258
2013-2014,Arkansas,0.6596727272727273
2013-2014,Arizona,0.8204636363636364
2013-2014,California,0.6863624242424242
2013-2014,Colorado,0.7439142857142858
2013-2014,Connecticut,0.5932464285714286
2013-2014,Delaware,0.55842
2013-2014,Florida,0.645989156626506
2013-2014,Georgia,0.6112583333333333
2013-2014,Hawaii,0.7454444444444445
2013-2014,Iowa,0.6811416666666666
2013-2014,Idaho,0.85146
2013-2014,Illinois,0.6681512195121951
2013-2014,Indiana,0.704440350877193
2013-2014,Kansas,0.7136185185185185
2013-2014,Kentucky,0.6949272727272727
2013-2014,Louisiana,0.6652333333333333
2013-2014,Massachusetts,0.60376
2013-2014,Maryland,0.6269225806451613
2013-2014,Maine,0.671947619047619
2013-2014,Michigan,0.7213357142857143
2013-2014,Minnesota,0.6826452380952381
2013-2014,Missouri,0.7118372881355932
2013-2014,Mississippi,0.5969117647058824
2013-2014,Montana,0.8042444444444444
2013-2014,North Carolina,0.5975420289855072
2013-2014,North Dakota,0.707225
2013-2014,Nebraska,0.636355
2013-2014,New Hampshire,0.6917923076923077
2013-2014,New Jersey,0.7091415094339623
2013-2014,New Mexico,0.7496
2013-2014,Nevada,0.89149
2013-2014,New York,0.662164423076923
2013-2014,Ohio,0.7024225806451613
2013-2014,Oklahoma,0.6913862068965517
2013-2014,Oregon,0.6923625
2013-2014,Pennsylvania,0.6966445086705202
2013-2014,Rhode Island,0.6679545454545455
2013-2014,South Carolina,0.6841190476190476
2013-2014,South Dakota,0.8228181818181818
2013-2014,Tennessee,0.6916859649122807
2013-2014,Texas,0.7032990196078431
2013-2014,Utah,0.7662444444444444
2013-2014,Virginia,0.6791677419354839
2013-2014,Vermont,0.7901055555555555
2013-2014,Washington,0.7985774193548387
2013-2014,Wisconsin,0.7552468085106383
2013-2014,West Virginia,0.6286625
2013-2014,Wyoming,0.9569
2014-2015,Alaska,0.4207
2014-2015,Alabama,0.7086806451612904
2014-2015,Arkansas,0.7059818181818182
2014-2015,Arizona,0.8037375
2014-2015,California,0.6860324840764331
2014-2015,Colorado,0.7581571428571429
2014-2015,Connecticut,0.5622666666666667
2014-2015,Delaware,0.5354
2014-2015,Florida,0.6239298701298701
2014-2015,Georgia,0.6366745762711864
2014-2015,Hawaii,0.7143111111111111
2014-2015,Iowa,0.6773324324324325
2014-2015,Idaho,0.7902399999999999
2014-2015,Illinois,0.6837246913580247
2014-2015,Indiana,0.7152793103448276
2014-2015,Kansas,0.7369586206896552
2014-2015,Kentucky,0.7059266666666667
2014-2015,Louisiana,0.6839241379310345
2014-2015,Massachusetts,0.6275356321839081
2014-2015,Maryland,0.642615625
2014-2015,Maine,0.6694058823529412
2014-2015,Michigan,0.7049245283018868
2014-2015,Minnesota,0.7097146341463415
2014-2015,Missouri,0.7183111111111111
2014-2015,Mississippi,0.68655625
2014-2015,Montana,0.8262666666666667
2014-2015,North Carolina,0.6253128571428571
2014-2015,North Dakota,0.696475
2014-2015,Nebraska,0.677355
2014-2015,New Hampshire,0.7483785714285714
2014-2015,New Jersey,0.7077557692307692
2014-2015,New Mexico,0.71091
2014-2015,Nevada,0.8503000000000001
2014-2015,New York,0.6659586854460094
2014-2015,Ohio,0.7321129032258065
2014-2015,Oklahoma,0.6856344827586207
2014-2015,Oregon,0.7559741935483871
2014-2015,Pennsylvania,0.7157953216374269
2014-2015,Rhode Island,0.6557909090909091
2014-2015,South Carolina,0.6608170731707317
2014-2015,South Dakota,0.8102818181818182
2014-2015,Tennessee,0.6836641509433963
2014-2015,Texas,0.7014274509803922
2014-2015,Utah,0.7762181818181818
2014-2015,Virginia,0.6528418181818182
2014-2015,Vermont,0.7833277777777777
2014-2015,Washington,0.8002935483870968
2014-2015,Wisconsin,0.7830239130434783
2014-2015,West Virginia,0.6677434782608695
2014-2015,Wyoming,0.9766
2015-2016,Alaska,0.5788
2015-2016,Alabama,0.671275
2015-2016,Arkansas,0.6951772727272727
2015-2016,Arizona,0.7306173913043478
2015-2016,California,0.6311541935483871
2015-2016,Colorado,0.7432666666666666
2015-2016,Connecticut,0.5778826086956522
2015-2016,Delaware,0.5839799999999999
2015-2016,Florida,0.6439397260273972
2015-2016,Georgia,0.6412833333333333
2015-2016,Hawaii,0.7322777777777778
2015-2016,Iowa,0.6816702702702703
2015-2016,Idaho,0.7942454545454546
2015-2016,Illinois,0.6656253164556962
2015-2016,Indiana,0.7186518518518519
2015-2016,Kansas,0.7345555555555555
2015-2016,Kentucky,0.6955193548387096
2015-2016,Louisiana,0.6909333333333333
2015-2016,Massachusetts,0.638529761904762
2015-2016,Maryland,0.6209766666666666
2015-2016,Maine,0.6962777777777778
2015-2016,Michigan,0.7272181818181818
2015-2016,Minnesota,0.6740452380952381
2015-2016,Missouri,0.70595
2015-2016,Mississippi,0.7031875
2015-2016,Montana,0.8266111111111111
2015-2016,North Carolina,0.6264
2015-2016,North Dakota,0.768525
2015-2016,Nebraska,0.72035
2015-2016,New Hampshire,0.7585428571428572
2015-2016,New Jersey,0.6843622641509434
2015-2016,New Mexico,0.6266
2015-2016,Nevada,0.7806181818181819
2015-2016,New York,0.6593682242990654
2015-2016,Ohio,0.72598064516129035
2015-2016,Oklahoma,0.6713964285714286
2015-2016,Oregon,0.757178125
2015-2016,Pennsylvania,0.7167305882352941
2015-2016,Rhode Island,0.6568666666666667
2015-2016,South Carolina,0.6701
2015-2016,South Dakota,0.7757272727272727
2015-2016,Tennessee,0.7005627450980392
2015-2016,Texas,0.685222
2015-2016,Utah,0.82653
2015-2016,Virginia,0.6843350877192983
2015-2016,Vermont,0.7348941176470588
2015-2016,Washington,0.7710344827586207
2015-2016,Wisconsin,0.7652522727272727
2015-2016,West Virginia,0.721925
2015-2016,Wyoming,0.9566
